position	originalpos	primaryprefix	altprefixes	localid	iri	resolvingns	humanhtml	homepage	description	title	registry
157	117		NA	swo	http://purl.obolibrary.org/obo/swo.owl	http://purl.obolibrary.org/obo/swo.owl		www.ebi.ac.uk/efo/swo	NA		OBOFOUNDRY
158	118		NA	symp	http://purl.obolibrary.org/obo/symp.owl	http://purl.obolibrary.org/obo/symp.owl		http://symptomontologywiki.igs.umaryland.edu/mediawiki/index.php/Main_Page	"An ontology of disease symptoms, with symptoms encompasing perceived changes in function, sensations or appearance reported by a patient indicative of a disease."		OBOFOUNDRY
159	119		NA	tads	http://purl.obolibrary.org/obo/tads.owl	http://purl.obolibrary.org/obo/tads.owl		http://anobase.vectorbase.org	"The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>"		OBOFOUNDRY
160	120		NA	taxrank	http://purl.obolibrary.org/obo/taxrank.owl	http://purl.obolibrary.org/obo/taxrank.owl		https://www.phenoscape.org/wiki/Taxonomic_Rank_Vocabulary	"A vocabulary of taxonomic ranks (species, family, phylum, etc)"		OBOFOUNDRY
161	121		NA	tgma	http://purl.obolibrary.org/obo/tgma.owl	http://purl.obolibrary.org/obo/tgma.owl		http://anobase.vectorbase.org	A structured controlled vocabulary of the anatomy of mosquitoes.		OBOFOUNDRY
162	122	Planteome	NA	to	http://purl.obolibrary.org/obo/to.owl	http://purl.obolibrary.org/obo/to.owl	http://dev.planteome.org/amigo/term/TO:0000387	http://planteome.org	A controlled vocabulary of describe phenotypic traits in plants.	Planteome browser	OBOFOUNDRY
163	123		NA	trans	http://purl.obolibrary.org/obo/trans.owl	http://purl.obolibrary.org/obo/trans.owl		http://diseaseontology.sourceforge.net/	"An ontology representing the disease transmission process during which the pathogen is transmitted directly or indirectly from its natural reservoir, a susceptible host or source to a new host."		OBOFOUNDRY
164	124		NA	tto	http://purl.obolibrary.org/obo/tto.owl	http://purl.obolibrary.org/obo/tto.owl		https://www.nescent.org/phenoscape/Main_Page	An ontology covering the taxonomy of teleosts (bony fish)		OBOFOUNDRY
165	125	RGD	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=UBERON:0001062	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
166	125	RGD	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=UBERON:0001062	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
167	125	RGD	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://amigo.geneontology.org/amigo/term/UBERON:0001062#display-lineage-tab	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
168	125	RGD	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://amigo.geneontology.org/amigo/term/UBERON:0001062#display-lineage-tab	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
169	125	AmiGO (SUBSET)	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=UBERON:0001062	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
170	125	AmiGO (SUBSET)	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=UBERON:0001062	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
171	125	AmiGO (SUBSET)	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://amigo.geneontology.org/amigo/term/UBERON:0001062#display-lineage-tab	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
172	125	AmiGO (SUBSET)	NA	uberon	http://purl.obolibrary.org/obo/uberon.owl	http://purl.obolibrary.org/obo/uberon.owl	http://amigo.geneontology.org/amigo/term/UBERON:0001062#display-lineage-tab	http://uberon.org	An integrated cross-species anatomy ontology covering animals and bridging multiple species-specific ontologies	Gene Ontology AmiGO 2 Browser	OBOFOUNDRY
173	126		NA	uo	http://purl.obolibrary.org/obo/uo.owl	http://purl.obolibrary.org/obo/uo.owl		https://github.com/bio-ontology-research-group/unit-ontology	Metrical units for use in conjunction with PATO		OBOFOUNDRY
174	127		NA	upheno	NA	NA			NA		OBOFOUNDRY
175	128		NA	vario	http://purl.obolibrary.org/obo/vario.owl	http://purl.obolibrary.org/obo/vario.owl		http://variationontology.org	"Variation Ontology, VariO, is an ontology for standardized, systematic description of effects, consequences and mechanisms of variations."		OBOFOUNDRY
176	129		NA	vo	http://purl.obolibrary.org/obo/vo.owl	http://purl.obolibrary.org/obo/vo.owl		http://www.violinet.org/vaccineontology	a biomedical ontology in the domain of vaccine and vaccination		OBOFOUNDRY
177	130		NA	vt	http://purl.obolibrary.org/obo/vt.owl	http://purl.obolibrary.org/obo/vt.owl			An ontology of traits covering vertebrates		OBOFOUNDRY
178	131		NA	vto	http://purl.obolibrary.org/obo/vto.owl	http://purl.obolibrary.org/obo/vto.owl			NA		OBOFOUNDRY
179	132		NA	wbbt	http://purl.obolibrary.org/obo/wbbt.owl	http://purl.obolibrary.org/obo/wbbt.owl		http://www.wormbase.org/	A structured controlled vocabulary of the anatomy of <i>Caenorhabditis elegans</i>.		OBOFOUNDRY
180	133		NA	wbls	http://purl.obolibrary.org/obo/wbls.owl	http://purl.obolibrary.org/obo/wbls.owl		http://www.wormbase.org/	A structured controlled vocabulary of the development of <i>Caenorhabditis elegans</i>.		OBOFOUNDRY
181	134		NA	wbphenotype	http://purl.obolibrary.org/obo/wbphenotype.owl	http://purl.obolibrary.org/obo/wbphenotype.owl		http://www.wormbase.org/	A structured controlled vocabulary of <i>Caenorhabditis elegans</i> phenotypes		OBOFOUNDRY
182	135	RGD	NA	xco	http://purl.obolibrary.org/obo/xco.owl	http://purl.obolibrary.org/obo/xco.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=XCO:0000000	http://rgd.mcw.edu/rgdweb/ontology/search.html	Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.	RGD Ontology Browser	OBOFOUNDRY
183	135	RGD	NA	xco	http://purl.obolibrary.org/obo/xco.owl	http://purl.obolibrary.org/obo/xco.owl	http://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=XCO:0000000	ftp://ftp.rgd.mcw.edu/pub/ontology/experimental_condition/	Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.	RGD Ontology Browser	OBOFOUNDRY
184	136		NA	zfs	http://purl.obolibrary.org/obo/zfs.owl	http://purl.obolibrary.org/obo/zfs.owl		http://zfin.org/zf_info/anatomy/dict/sum.html	Developmental stages of the Zebrafish		OBOFOUNDRY
185	137		NA	aao	NA	NA		http://github.com/seger/aao	NA		OBOFOUNDRY
186	138		NA	adw	NA	NA		http://www.animaldiversity.org	NA		OBOFOUNDRY
187	139		NA	ato	NA	NA		http://www.amphibanat.org	NA		OBOFOUNDRY
188	140		NA	bila	NA	NA		http://4dx.embl.de/4DXpress	NA		OBOFOUNDRY
189	141		NA	bootstrep	NA	NA		http://www.ebi.ac.uk/Rebholz-srv/GRO/GRO.html	NA		OBOFOUNDRY
190	142		NA	dc_cl	NA	NA		http://www.dukeontologygroup.org/Projects.html	NA		OBOFOUNDRY
191	143		NA	ehda	NA	NA		http://genex.hgu.mrc.ac.uk/	NA		OBOFOUNDRY
192	144		NA	ehdaa	NA	NA			NA		OBOFOUNDRY
193	145		NA	ev	NA	NA		http://www.evocontology.org/	NA		OBOFOUNDRY
194	146		NA	fbsp	NA	NA		http://www.flybase.org/	The taxonomy of the family <i>Drosophilidae</i> (largely after Baechli) and of other taxa referred to in FlyBase.		OBOFOUNDRY
195	147		NA	gro	NA	NA		http://www.gramene.org/plant_ontology/	NA		OBOFOUNDRY
196	148		NA	habronattus	NA	NA		http://www.mesquiteproject.org/ontology/Habronattus/index.html	NA		OBOFOUNDRY
197	149		NA	iev	NA	NA		http://www.inoh.org	NA		OBOFOUNDRY
198	150		NA	imr	NA	NA		http://www.inoh.org	NA		OBOFOUNDRY
199	151		NA	ipr	NA	NA		http://www.ebi.ac.uk/interpro/index.html	NA		OBOFOUNDRY
200	152		NA	lipro	NA	NA			An ontology representation of the LIPIDMAPS nomenclature classification.		OBOFOUNDRY
201	153		NA	loggerhead	NA	NA		http://www.mesquiteproject.org/ontology/Loggerhead/index.html	NA		OBOFOUNDRY
202	154		NA	mao	NA	NA		http://www-igbmc.u-strasbg.fr/BioInfo/MAO/mao.html	NA		OBOFOUNDRY
203	155		NA	mat	NA	NA			NA		OBOFOUNDRY
204	156		NA	mo	NA	NA		http://mged.sourceforge.net/ontologies/MGEDontology.php	A standardized description of a microarray experiment in support of MAGE v.1.		OBOFOUNDRY
205	157		NA	nif_cell	NA	NA		http://neuinfo.org/	Neuronal cell types		OBOFOUNDRY
206	158		NA	nif_dysfunction	NA	NA		http://neuinfo.org/	NA		OBOFOUNDRY
207	159		NA	nif_grossanatomy	NA	NA		http://neuinfo.org/	NA		OBOFOUNDRY
208	160		NA	nmr	NA	NA		http://msi-ontology.sourceforge.net/	Descriptors relevant to the experimental conditions of the Nuclear Magnetic Resonance (NMR) component in a metabolomics investigation.		OBOFOUNDRY
209	161		NA	obo_rel	NA	NA		http://www.obofoundry.org/ro	NA		OBOFOUNDRY
210	162		NA	pao	NA	NA		http://www.plantontology.org	NA		OBOFOUNDRY
211	163		NA	pd_st	NA	NA		http://4dx.embl.de/platy	NA		OBOFOUNDRY
212	164		NA	pgdso	NA	NA		http://www.plantontology.org	NA		OBOFOUNDRY
213	165		NA	plo	NA	NA		http://www.sanger.ac.uk/Users/mb4/PLO/	NA		OBOFOUNDRY
214	166		NA	propreo	NA	NA		http://lsdis.cs.uga.edu/projects/glycomics/propreo/	NA		OBOFOUNDRY
215	167		NA	resid	NA	NA		http://www.ebi.ac.uk/RESID/	For the description of covalent bonds in proteins.		OBOFOUNDRY
216	168		NA	sao	NA	NA		http://ccdb.ucsd.edu/CCDBWebSite/sao.html	NA		OBOFOUNDRY
217	169		NA	sopharm	NA	NA		http://www.loria.fr/~coulet/sopharm2.0_description.php	NA		OBOFOUNDRY
218	170		NA	tahe	NA	NA			NA		OBOFOUNDRY
219	171		NA	tahh	NA	NA			NA		OBOFOUNDRY
220	172		NA	tao	NA	NA		http://wiki.phenoscape.org/wiki/Teleost_Anatomy_Ontology	"Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa"		OBOFOUNDRY
221	173		NA	vhog	NA	NA			NA		OBOFOUNDRY
222	174		NA	vsao	NA	NA		https://www.nescent.org/phenoscape/Main_Page	Vertebrate skeletal anatomy ontology.		OBOFOUNDRY
223	175		NA	ypo	NA	NA		http://www.yeastgenome.org/	NA		OBOFOUNDRY
224	176		NA	zea	NA	NA		http://www.maizemap.org/	NA		OBOFOUNDRY
1	1	yago	yago		http://yago-knowledge.org/resource/						Prefix.cc
2	2	rdf	rdf		http://www.w3.org/1999/02/22-rdf-syntax-ns#						Prefix.cc
3	3	foaf	foaf		http://xmlns.com/foaf/0.1/						Prefix.cc
4	4	dbo	dbo		http://dbpedia.org/ontology/						Prefix.cc
5	5	dbp	dbp		http://dbpedia.org/property/						Prefix.cc
6	6	dc	dc		http://purl.org/dc/elements/1.1/						Prefix.cc
7	7	owl	owl		http://www.w3.org/2002/07/owl#						Prefix.cc
8	8	rdfs	rdfs		http://www.w3.org/2000/01/rdf-schema#						Prefix.cc
9	9	ont	ont		http://purl.org/net/ns/ontology-annot#						Prefix.cc
10	10	skos	skos		http://www.w3.org/2004/02/skos/core#						Prefix.cc
11	11	geo	geo		http://www.w3.org/2003/01/geo/wgs84_pos#						Prefix.cc
12	12	onto	onto		http://www.ontotext.com/						Prefix.cc
13	13	rss	rss		http://purl.org/rss/1.0/						Prefix.cc
14	14	gldp	gldp		http://www.w3.org/ns/people#						Prefix.cc
15	15	sioc	sioc		http://rdfs.org/sioc/ns#						Prefix.cc
16	16	fb	fb		http://rdf.freebase.com/ns/						Prefix.cc
17	17	geonames	geonames		http://www.geonames.org/ontology#						Prefix.cc
18	18	sc	sc		http://purl.org/science/owl/sciencecommons/						Prefix.cc
19	19	xsd	xsd		http://www.w3.org/2001/XMLSchema#						Prefix.cc
20	20	org	org		http://www.w3.org/ns/org#						Prefix.cc
21	21	gr	gr		http://purl.org/goodrelations/v1#						Prefix.cc
22	22	qb	qb		http://purl.org/linked-data/cube#						Prefix.cc
23	23	dcterms	dcterms		http://purl.org/dc/terms/						Prefix.cc
24	24	commerce	commerce		http://search.yahoo.com/searchmonkey/commerce/						Prefix.cc
25	25	bibo	bibo		http://purl.org/ontology/bibo/						Prefix.cc
26	26	dct	dct		http://purl.org/dc/terms/						Prefix.cc
27	27	prov	prov		http://www.w3.org/ns/prov#						Prefix.cc
28	28	md	md		http://www.w3.org/ns/md#						Prefix.cc
29	29	dbpedia	dbpedia		http://dbpedia.org/resource/						Prefix.cc
30	30	sd	sd		http://www.w3.org/ns/sparql-service-description#						Prefix.cc
31	31	dbpprop	dbpprop		http://dbpedia.org/property/						Prefix.cc
32	32	akt	akt		http://www.aktors.org/ontology/portal#						Prefix.cc
33	33	void	void		http://rdfs.org/ns/void#						Prefix.cc
34	34	swrc	swrc		http://swrc.ontoware.org/ontology#						Prefix.cc
35	35	vann	vann		http://purl.org/vocab/vann/						Prefix.cc
36	36	dcat	dcat		http://www.w3.org/ns/dcat#						Prefix.cc
37	37	pto	pto		http://www.productontology.org/id/						Prefix.cc
38	38	vcard	vcard		http://www.w3.org/2006/vcard/ns#						Prefix.cc
39	39	dcmit	dcmit		http://purl.org/dc/dcmitype/						Prefix.cc
40	40	content	content		http://yousuck.ca/						Prefix.cc
41	41	doap	doap		http://usefulinc.com/ns/doap#						Prefix.cc
42	42	ex	ex		http://example.org/						Prefix.cc
43	43	cyc	cyc		http://sw.opencyc.org/concept/						Prefix.cc
44	44	xhtml	xhtml		http://www.w3.org/1999/xhtml#						Prefix.cc
45	45	aiiso	aiiso		http://purl.org/vocab/aiiso/schema#						Prefix.cc
46	46	http	http		http://www.w3.org/2011/http#						Prefix.cc
47	47	wot	wot		http://xmlns.com/wot/0.1/						Prefix.cc
48	48	cc	cc		http://creativecommons.org/ns#						Prefix.cc
49	49	dc11	dc11		http://purl.org/dc/elements/1.1/						Prefix.cc
50	50	nie	nie		http://www.semanticdesktop.org/ontologies/2007/01/19/nie#						Prefix.cc
51	51	gen	gen		http://www.w3.org/2006/gen/ont#						Prefix.cc
52	52	mo	mo		http://purl.org/ontology/mo/						Prefix.cc
53	53	bill	bill		http://www.rdfabout.com/rdf/schema/usbill/						Prefix.cc
54	54	rel	rel		http://purl.org/vocab/relationship/						Prefix.cc
55	55	test2	test2		http://this.invalid/test2#						Prefix.cc
56	56	d2rq	d2rq		http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#						Prefix.cc
57	57	event	event		http://purl.org/NET/c4dm/event.owl#						Prefix.cc
58	58	bio	bio		http://purl.org/vocab/bio/0.1/						Prefix.cc
59	59	ad	ad		http://schemas.talis.com/2005/address/schema#						Prefix.cc
60	60	cv	cv		http://rdfs.org/resume-rdf/						Prefix.cc
61	61	rr	rr		http://www.w3.org/ns/r2rml#						Prefix.cc
62	62	ical	ical		http://www.w3.org/2002/12/cal/ical#						Prefix.cc
63	63	earl	earl		http://www.w3.org/ns/earl#						Prefix.cc
64	64	admin	admin		http://webns.net/mvcb/						Prefix.cc
65	65	swc	swc		http://data.semanticweb.org/ns/swc/ontology#						Prefix.cc
66	66	og	og		http://opengraphprotocol.org/schema/						Prefix.cc
67	67	factbook	factbook		http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#						Prefix.cc
68	68	air	air		http://dig.csail.mit.edu/TAMI/2007/amord/air#						Prefix.cc
69	69	fn	fn		http://www.w3.org/2005/xpath-functions#						Prefix.cc
70	70	log	log		http://www.w3.org/2000/10/swap/log#						Prefix.cc
71	71	media	media		http://purl.org/microformat/hmedia/						Prefix.cc
72	72	book	book		http://purl.org/NET/book/vocab#						Prefix.cc
73	73	daia	daia		http://purl.org/ontology/daia/						Prefix.cc
74	74	co	co		http://rhizomik.net/ontologies/copyrightonto.owl#						Prefix.cc
75	75	tag	tag		http://www.holygoat.co.uk/owl/redwood/0.1/tags/						Prefix.cc
76	76	ctag	ctag		http://commontag.org/ns#						Prefix.cc
77	77	ma	ma		http://www.w3.org/ns/ma-ont#						Prefix.cc
78	78	botany	botany		http://purl.org/NET/biol/botany#						Prefix.cc
79	79	dv	dv		http://rdf.data-vocabulary.org/#						Prefix.cc
80	80	days	days		http://ontologi.es/days#						Prefix.cc
81	81	biblio	biblio		http://purl.org/net/biblio#						Prefix.cc
82	82	dbr	dbr		http://dbpedia.org/resource/						Prefix.cc
83	83	musim	musim		http://purl.org/ontology/similarity/						Prefix.cc
84	84	dir	dir		http://schemas.talis.com/2005/dir/schema#						Prefix.cc
85	85	osag	osag		http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#						Prefix.cc
86	86	dcq	dcq		http://purl.org/dc/qualifiers/1.0/						Prefix.cc
87	87	cs	cs		http://purl.org/vocab/changeset/schema#						Prefix.cc
88	88	oo	oo		http://purl.org/openorg/						Prefix.cc
89	89	ome	ome		http://purl.org/ontomedia/core/expression#						Prefix.cc
90	90	tzont	tzont		http://www.w3.org/2006/timezone#						Prefix.cc
91	91	afn	afn		http://jena.hpl.hp.com/ARQ/function#						Prefix.cc
92	92	af	af		http://purl.org/ontology/af/						Prefix.cc
93	93	cld	cld		http://purl.org/cld/terms/						Prefix.cc
94	94	pc	pc		http://purl.org/procurement/public-contracts#						Prefix.cc
95	95	cal	cal		http://www.w3.org/2002/12/cal/ical#						Prefix.cc
96	96	ir	ir		http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#						Prefix.cc
97	97	rdfg	rdfg		http://www.w3.org/2004/03/trix/rdfg-1/						Prefix.cc
98	98	reco	reco		http://purl.org/reco#						Prefix.cc
99	99	xhv	xhv		http://www.w3.org/1999/xhtml/vocab#						Prefix.cc
100	100	rev	rev		http://purl.org/stuff/rev#						Prefix.cc
101	101	schema	schema		http://schema.org/						Prefix.cc
102	102	rif	rif		http://www.w3.org/2007/rif#						Prefix.cc
103	103	xs	xs		http://www.w3.org/2001/XMLSchema#						Prefix.cc
104	104	sr	sr		http://www.openrdf.org/config/repository/sail#						Prefix.cc
105	105	xfn	xfn		http://gmpg.org/xfn/11#						Prefix.cc
106	106	memo	memo		http://ontologies.smile.deri.ie/2009/02/27/memo#						Prefix.cc
107	107	cfp	cfp		http://sw.deri.org/2005/08/conf/cfp.owl#						Prefix.cc
108	108	cmp	cmp		http://www.ontologydesignpatterns.org/cp/owl/componency.owl#						Prefix.cc
109	109	giving	giving		http://ontologi.es/giving#						Prefix.cc
110	110	ok	ok		http://okkam.org/terms#						Prefix.cc
111	111	xf	xf		http://www.w3.org/2002/xforms/						Prefix.cc
112	112	sism	sism		http://purl.oclc.org/NET/sism/0.1/						Prefix.cc
113	113	lomvoc	lomvoc		http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#						Prefix.cc
114	114	swande	swande		http://purl.org/swan/1.2/discourse-elements/						Prefix.cc
115	115	type	type		http://info.deepcarbon.net/schema/type#						Prefix.cc
116	116	swanq	swanq		http://purl.org/swan/1.2/qualifiers/						Prefix.cc
117	117	math	math		http://www.w3.org/2000/10/swap/math#						Prefix.cc
118	118	mu	mu		http://www.kanzaki.com/ns/music#						Prefix.cc
119	119	dcn	dcn		http://www.w3.org/2007/uwa/context/deliverycontext.owl#						Prefix.cc
120	120	owlim	owlim		http://www.ontotext.com/trree/owlim#						Prefix.cc
121	121	myspace	myspace		http://purl.org/ontology/myspace#						Prefix.cc
122	122	jdbc	jdbc		http://d2rq.org/terms/jdbc/						Prefix.cc
123	123	con	con		http://www.w3.org/2000/10/swap/pim/contact#						Prefix.cc
124	124	time	time		http://www.w3.org/2006/time#						Prefix.cc
125	125	swrcfe	swrcfe		http://www.morelab.deusto.es/ontologies/swrcfe#						Prefix.cc
126	126	drugbank	drugbank		http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/						Prefix.cc
127	127	vs	vs		http://www.w3.org/2003/06/sw-vocab-status/ns#						Prefix.cc
128	128	frbr	frbr		http://purl.org/vocab/frbr/core#						Prefix.cc
129	129	spacerel	spacerel		http://data.ordnancesurvey.co.uk/ontology/spatialrelations/						Prefix.cc
130	130	voaf	voaf		http://purl.org/vocommons/voaf#						Prefix.cc
131	131	cert	cert		http://www.w3.org/ns/auth/cert#						Prefix.cc
132	132	ac	ac		http://umbel.org/umbel/ac/						Prefix.cc
133	133	nfo	nfo		http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#						Prefix.cc
134	134	sider	sider		http://www4.wiwiss.fu-berlin.de/sider/resource/sider/						Prefix.cc
135	135	wn20schema	wn20schema		http://www.w3.org/2006/03/wn/wn20/schema/						Prefix.cc
136	136	marcrel	marcrel		http://id.loc.gov/vocabulary/relators/						Prefix.cc
137	137	cnt	cnt		http://www.w3.org/2011/content#						Prefix.cc
138	138	sioct	sioct		http://rdfs.org/sioc/types#						Prefix.cc
139	139	movie	movie		http://data.linkedmdb.org/resource/movie/						Prefix.cc
140	140	rsa	rsa		http://www.w3.org/ns/auth/rsa#						Prefix.cc
141	141	adms	adms		http://www.w3.org/ns/adms#						Prefix.cc
142	142	ov	ov		http://open.vocab.org/terms/						Prefix.cc
143	143	xtypes	xtypes		http://purl.org/xtypes/						Prefix.cc
144	144	akts	akts		http://www.aktors.org/ontology/support#						Prefix.cc
145	145	omn	omn		http://open-multinet.info/ontology/omn#						Prefix.cc
146	146	service	service		http://purl.org/ontology/service#						Prefix.cc
147	147	dcterm	dcterm		http://purl.org/dc/terms/						Prefix.cc
148	148	lgd	lgd		http://linkedgeodata.org/triplify/						Prefix.cc
149	149	db	db		http://dbpedia.org/						Prefix.cc
150	150	loc	loc		http://www.w3.org/2007/uwa/context/location.owl#						Prefix.cc
151	151	acm	acm		http://www.rkbexplorer.com/ontologies/acm#						Prefix.cc
152	152	prv	prv		http://purl.org/net/provenance/ns#						Prefix.cc
153	153	po	po		http://purl.org/ontology/po/						Prefix.cc
154	154	gn	gn		http://www.geonames.org/ontology#						Prefix.cc
155	155	isbd	isbd		http://iflastandards.info/ns/isbd/elements/						Prefix.cc
156	156	test	test		http://test2.example.com/						Prefix.cc
157	157	uniprot	uniprot		http://purl.uniprot.org/core/						Prefix.cc
158	158	crm	crm		http://www.cidoc-crm.org/cidoc-crm/						Prefix.cc
159	159	wn	wn		http://xmlns.com/wordnet/1.6/						Prefix.cc
160	160	swrl	swrl		http://www.w3.org/2003/11/swrl#						Prefix.cc
161	161	ore	ore		http://www.openarchives.org/ore/terms/						Prefix.cc
162	162	prism	prism		http://prismstandard.org/namespaces/basic/2.0/						Prefix.cc
163	163	oa	oa		http://www.w3.org/ns/oa#						Prefix.cc
164	164	sdmx	sdmx		http://purl.org/linked-data/sdmx#						Prefix.cc
165	165	link	link		http://www.w3.org/2006/link#						Prefix.cc
166	166	music	music		http://musicontology.com/						Prefix.cc
167	167	acc	acc		http://purl.org/NET/acc#						Prefix.cc
168	168	zoology	zoology		http://purl.org/NET/biol/zoology#						Prefix.cc
169	169	daml	daml		http://www.daml.org/2001/03/daml+oil#						Prefix.cc
170	170	pmlj	pmlj		http://inference-web.org/2.0/pml-justification.owl#						Prefix.cc
171	171	granatum	granatum		http://chem.deri.ie/granatum/						Prefix.cc
172	172	ndl	ndl		http://schemas.ogf.org/nml/2013/05/base#						Prefix.cc
173	173	dcam	dcam		http://purl.org/dc/dcam/						Prefix.cc
174	174	madsrdf	madsrdf		http://www.loc.gov/mads/rdf/v1#						Prefix.cc
175	175	wo	wo		http://purl.org/ontology/wo/						Prefix.cc
176	176	tl	tl		http://purl.org/NET/c4dm/timeline.owl#						Prefix.cc
177	177	pr	pr		http://purl.org/ontology/prv/core#						Prefix.cc
178	178	umbel	umbel		http://umbel.org/umbel#						Prefix.cc
179	179	tmo	tmo		http://www.semanticdesktop.org/ontologies/2008/05/20/tmo#						Prefix.cc
180	180	ptr	ptr		http://www.w3.org/2009/pointers#						Prefix.cc
181	181	biocore	biocore		http://bio2rdf.org/core#						Prefix.cc
182	182	acl	acl		http://www.w3.org/ns/auth/acl#						Prefix.cc
183	183	lode	lode		http://linkedevents.org/ontology/						Prefix.cc
184	184	abc	abc		http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#						Prefix.cc
185	185	scovo	scovo		http://purl.org/NET/scovo#						Prefix.cc
186	186	swrlb	swrlb		http://www.w3.org/2003/11/swrlb#						Prefix.cc
187	187	ldp	ldp		http://www.w3.org/ns/ldp#						Prefix.cc
188	188	nsogi	nsogi		http://prefix.cc/nsogi:						Prefix.cc
189	189	dbpediaowl	dbpediaowl		http://dbpedia.org/owl/						Prefix.cc
190	190	taxo	taxo		http://purl.org/rss/1.0/modules/taxonomy/						Prefix.cc
191	191	java	java		http://www.w3.org/2007/uwa/context/java.owl#						Prefix.cc
192	192	bio2rdf	bio2rdf		http://bio2rdf.org/						Prefix.cc
193	193	unit	unit		http://qudt.org/vocab/unit#						Prefix.cc
194	194	whois	whois		http://www.kanzaki.com/ns/whois#						Prefix.cc
195	195	core	core		http://vivoweb.org/ontology/core#						Prefix.cc
196	196	ya	ya		http://blogs.yandex.ru/schema/foaf/						Prefix.cc
197	197	politico	politico		http://www.rdfabout.com/rdf/schema/politico/						Prefix.cc
198	198	protege	protege		http://protege.stanford.edu/system#						Prefix.cc
199	199	omt	omt		http://purl.org/ontomedia/ext/common/trait#						Prefix.cc
200	200	wdrs	wdrs		http://www.w3.org/2007/05/powder-s#						Prefix.cc
201	201	compass	compass		http://purl.org/net/compass#						Prefix.cc
202	202	skosxl	skosxl		http://www.w3.org/2008/05/skos-xl#						Prefix.cc
203	203	mit	mit		http://purl.org/ontology/mo/mit#						Prefix.cc
204	204	oauth	oauth		http://demiblog.org/vocab/oauth#						Prefix.cc
205	205	scot	scot		http://rdfs.org/scot/ns#						Prefix.cc
206	206	atom	atom		http://www.w3.org/2005/Atom/						Prefix.cc
207	207	room	room		http://vocab.deri.ie/rooms#						Prefix.cc
208	208	fresnel	fresnel		http://www.w3.org/2004/09/fresnel#						Prefix.cc
209	209	exif	exif		http://www.w3.org/2003/12/exif/ns#						Prefix.cc
210	210	usgov	usgov		http://www.rdfabout.com/rdf/schema/usgovt/						Prefix.cc
211	211	eg	eg		http://eulergui.sourceforge.net/engine.owl#						Prefix.cc
212	212	sp	sp		http://spinrdf.org/sp#						Prefix.cc
213	213	irw	irw		http://www.ontologydesignpatterns.org/ont/web/irw.owl#						Prefix.cc
214	214	resource	resource		http://purl.org/vocab/resourcelist/schema#						Prefix.cc
